person_id,body_id,body_name,member_type,title,start_date,end_date
12,170,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY COM (prior to 11-7-2006).,Member,,2003-04-15,2006-11-07
12,141,EAST WASHINGTON AVENUE DESIGN OVERSIGHT COMMITTEE (prior to 1-19-2007),Member,,2003-04-15,2007-01-19
12,176,CIVIL RIGHTS DEPT AD HOC COMMITTEE (prior to 6-21-2005),Member,,2005-01-18,2005-07-26
12,142,EAST WASHINGTON/CAPITOL GATEWAY BUILD STEERING COMMITTEE(prior to 01/20/2010) ,Member,,2004-11-09,2007-04-16
12,105,"HUMANITARIAN AWARD COMMISSION,  REVEREND  DOCTOR  MARTIN LUTHER KING JR. (prior to 8-11-2009)",Member,,2006-09-05,2007-04-16
12,211,PLATINUM BIKING CITY PLANNING COMMITTEE (prior to 11-18-2008),Member,,2006-09-05,2007-04-16
12,219,WARNER PARK STADIUM RENOVATION AD HOC COMMITTEE (prior to 2-21-2007),Member,,2006-10-16,2007-03-26
12,224,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY SUBCOMMITTEE (ended 3-2023),Member,,2006-11-08,2007-04-16
12,5,ALCOHOL LICENSE REVIEW COMMITTEE,Member,,2007-06-19,2008-05-05
12,48,EQUAL OPPORTUNITIES COMMISSION,Member,Adult City Resident,2008-05-06,2013-12-31
12,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,Alternate Member,2020-12-01,2021-04-20
12,319,CITY-COUNTY HOMELESS ISSUES COMMITTEE,Member,Common Council Member,2021-04-20,2023-04-18
12,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,Common Council Member,2021-04-20,2023-04-18
12,48,EQUAL OPPORTUNITIES COMMISSION,Member,Common Council Member,2021-04-20,2023-04-18
12,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,Common Council Member,2021-04-20,2023-04-18
12,307,COMMUNITY DEVELOPMENT DIVISION CONFERENCE COMMITTEE,Member,CSC Alder,2021-05-18,2023-04-18
12,1368,"PRESIDENT'S WORK GROUP ON RACIAL JUSTICE, ANTIRACISM AND EQUITY (ended 5/2022)",Member,Common Council Member,2021-05-18,2022-04-19
12,1369,PRESIDENT'S WORK GROUP ON ENVIRONMENTAL JUSTICE (ended 4/2022),Member,Common Council Member,2021-05-18,2022-04-19
14,4,BOARD OF ESTIMATES (ended 4/2017),Member,,1996-04-16,2008-04-21
14,91,COMMUNITY DEVELOPMENT AUTHORITY,Member,Common Council Member,2003-04-15,2013-04-15
14,178,STREETCAR STUDY COMMITTEE (prior to 11-21-2007),Member,,2005-02-01,2007-11-21
14,187,VILLAGER MALL MASTER PLAN OVERSIGHT AD HOC COMMITTEE (prior to 12-2005),Member,,2005-04-19,2005-12-21
14,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2006-05-02,2007-04-16
14,41,COMMUNITY DEVELOPMENT BLOCK GRANT COMMITTEE,Member,Common Council Member,2006-07-18,2013-04-15
14,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2007-04-17,2008-04-15
14,239,SOUTH MADISON AD HOC STEERING COMMITTEE (prior to 8-7-2007),Member,,2007-03-21,2007-08-10
14,241,"ERLANGER, JEFFREY CLAY, CIVILITY IN PUBLIC DISCOURSE AWARD COMMITTEE",Member,,2008-04-22,2010-05-03
14,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Chair,,2008-04-22,2010-04-20
14,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2008-04-22,2010-05-03
14,254,HOUSING MERGER PLANNING AD HOC COMMITTEE (ended 2/2013),Member,,2008-11-18,2013-02-26
14,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2010-05-04,2011-04-19
14,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2010-05-04,2011-04-18
14,273,OVERTURE AD HOC COMMITTEE (ended 12/2010),Member,,2010-08-03,2010-12-31
14,274,SISTER CITY AD HOC PLANNING COMMITTEE (ended 2/2011),Member,,2010-09-07,2011-02-01
14,277,REAPPORTIONMENT & REDISTRICTING AD HOC COMMITTEE (ended 8/2011),Member,District 13 Alder,2011-02-01,2011-08-02
14,36,WATER UTILITY BOARD,Member,,2011-04-19,2012-02-06
14,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2011-05-03,2012-04-17
14,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2012-05-01,2013-04-16
15,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2003-05-06,2004-04-19
15,93,MADISON PUBLIC LIBRARY BOARD,Member,,2003-04-15,2005-04-19
15,39,CITY-COUNTY LIAISON COMMITTEE,Member,,2003-04-15,2005-04-19
15,141,EAST WASHINGTON AVENUE DESIGN OVERSIGHT COMMITTEE (prior to 1-19-2007),Member,,2003-04-15,2005-04-19
15,48,EQUAL OPPORTUNITIES COMMISSION,Member,,2003-04-15,2005-04-19
15,93,MADISON PUBLIC LIBRARY BOARD,Member,Adult City Resident,2005-06-21,2016-09-30
16,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2004-05-04,2005-04-19
16,37,BROADBAND TELECOMMUNICATIONS REGULATORY BOARD (prior to 9-18-2008),Member,,1999-04-20,2008-09-18
16,166,SWIMMING POOL AD HOC COMMITTEE (prior to 6-25-2009),Member,,2003-02-04,2007-04-16
16,109,PEDESTRIAN/BICYCLE/MOTOR VEHICLE COMMISSION (ended 6/2018),Member,,2004-09-07,2011-04-30
16,39,CITY-COUNTY LIAISON COMMITTEE,Member,,1999-04-20,2011-04-18
16,195,SUSTAINABLE DESIGN AND ENERGY COMMITTEE (ended 6/2012),Member,,2007-04-17,2011-04-18
16,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2007-05-01,2010-05-03
16,255,HOUSING DIVERSITY PLANNING AD HOC COMMITTEE (ended 5/2011),Member,,2009-02-03,2011-04-18
16,265,SUSTAINABLE CITY AD HOC SUBCOMMITTEE FOR THE PRIVATE SECTOR (ended 3/2011),Member,District 13 Alder,2009-10-06,2011-03-24
16,272,MADISON CITY CHANNEL AD HOC ADVISORY COMMITTEE (ended 8/2010),Member,District 13 Alder,2010-02-02,2010-08-31
19,64,URBAN DESIGN COMMISSION,Member,,1995-04-18,2005-04-19
19,155,MID-STATE STREET PARKING RAMP COMMITTEE (prior to 11-15-2004),Member,,2004-07-01,2004-11-16
19,115,COMMUNITY ACTION COALITION FOR SOUTH CENTRAL WISCONSIN INC (ended 1-2020),Member,,1997-04-15,2005-04-19
19,60,SOLID WASTE ADVISORY COMMITTEE (ended 3/2020),Member,,2000-01-18,2005-04-19
20,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2003-04-15,2004-04-19
20,41,COMMUNITY DEVELOPMENT BLOCK GRANT COMMITTEE,Member,,1999-04-20,2007-04-16
20,103,BOARD OF EDUCATION - COMMON COUNCIL LIAISON COMMITTEE (prior to 6/12/2012),Member,,2005-04-20,2007-04-16
20,156,MONONA TERRACE BOOKING EVENT ASSISTANCE ADVISORY COMMITTEE,Member,,2001-05-15,2005-04-19
20,118,GREATER MADISON CONVENTION AND VISITORS BUREAU BOARD,Member,,2001-04-17,2005-04-19
21,2,Mayor,Chair,,2004-01-13,2007-04-17
21,4,BOARD OF ESTIMATES (ended 4/2017),Chair,,2003-04-15,2011-04-19
21,178,STREETCAR STUDY COMMITTEE (prior to 11-21-2007),Member,,2005-02-22,2007-11-21
2561,9,BOARD OF PUBLIC WORKS,Member,,2005-04-20,2011-04-18
2561,40,COMMITTEE ON THE ENVIRONMENT (ended 6/2020),Member,,2005-04-20,2011-04-18
2561,93,MADISON PUBLIC LIBRARY BOARD,Member,Common Council Member,2005-04-20,2015-04-21
2561,93,MADISON PUBLIC LIBRARY BOARD,Member,,1996-06-04,2005-04-19
2561,141,EAST WASHINGTON AVENUE DESIGN OVERSIGHT COMMITTEE (prior to 1-19-2007),Member,,2005-04-20,2007-01-19
2561,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2005-05-03,2006-04-18
2561,44,DOWNTOWN COORDINATING COMMITTEE,Member,,2005-06-21,2007-04-16
2561,202,LAKE EDGE/MONONA GROVE SCHOOL DISTRICT AD HOC COMMITTEE (prior to 11-2006),Member,,2006-03-07,2006-11-01
2561,210,GARVER BUILDING REUSE COMMITTEE (prior to 3-25-2008),Member,,2006-09-05,2008-06-20
2561,235,CAPITAL AREA REGIONAL PLANNING COMMISSION (CARPC),Member,Mayoral Appointee,2007-05-15,2022-03-28
2561,36,WATER UTILITY BOARD,Member,,2010-02-23,2011-04-18
2561,4,BOARD OF ESTIMATES (ended 4/2017),Member,Common Council Member,2011-04-19,2015-04-21
2561,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2011-05-03,2012-04-17
2561,224,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY SUBCOMMITTEE (ended 3-2023),Member,District 12 Alder,2013-04-16,2019-04-16
2561,91,COMMUNITY DEVELOPMENT AUTHORITY,Member,Common Council Member,2014-05-20,2015-04-21
2561,311,AD HOC DOWNTOWN PUBLIC RESTROOM COMMITTEE (ended 5/2015),Member,City-County Homeless Issues Committee Member,2014-05-21,2015-04-21
2561,299,HOUSING STRATEGY COMMITTEE (end 11/2024),Member,Common Council Member,2015-04-21,2019-04-16
2561,284,MADISON LOCAL FOOD COMMITTEE (renamed Public Market Development Committee 12/2016),Member,Common Council Member,2015-04-21,2016-12-31
2561,9,BOARD OF PUBLIC WORKS,Member,Common Council Member,2015-04-21,2017-04-18
2561,319,CITY-COUNTY HOMELESS ISSUES COMMITTEE,Member,Common Council Member,2015-04-21,2019-04-16
2561,1326,PUBLIC MARKET DEVELOPMENT COMMITTEE (ended 1/2024),Member,Common Council Member,2017-01-01,2019-04-16
2561,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2017-07-11,2018-06-30
2561,236,MADISON AREA TRANSPORTATION PLANNING BOARD (MPO) (prior to 9/30/2023),Member,Elected Official,2017-04-18,2019-04-16
2561,1330,OSCAR MAYER STRATEGIC ASSESSMENT COMMITTEE (ended 2/2019),Member,Common Council Member,2017-10-03,2019-02-05
2561,1324,FINANCE COMMITTEE,Member,Common Council Member,2018-08-07,2019-04-16
2557,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,,2005-04-20,2005-07-14
2557,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,,2005-04-20,2011-04-18
2557,39,CITY-COUNTY LIAISON COMMITTEE,Member,,2005-04-20,2009-04-21
2557,195,SUSTAINABLE DESIGN AND ENERGY COMMITTEE (ended 6/2012),Member,,2005-07-05,2007-04-16
2557,139,CONTRACTED SERVICE OVERSIGHT SUBCOMMITTEE (ended 6/2018),Member,,2005-09-06,2011-04-18
2557,204,LONG RANGE METRO TRANSIT PLANNING AD HOC COMMITTEE,Member,,2006-09-05,2008-09-16
2557,216,TAX INCREMENTAL FINANCING POLICY AD HOC COMMITTEE,Member,,2006-10-17,2007-04-16
2557,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2007-04-17,2011-04-18
2557,216,TAX INCREMENTAL FINANCING POLICY AD HOC COMMITTEE,Member,,2007-04-17,2009-03-31
2557,54,MADISON CULTURAL ARTS DISTRICT BOARD,Member,,2008-09-02,2011-04-18
2558,3,PLAN COMMISSION,Member,,2005-05-01,2011-04-30
2558,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,,2005-04-20,2011-04-18
2558,36,WATER UTILITY BOARD,Member,Common Council Member,2005-05-03,2015-04-21
2558,202,LAKE EDGE/MONONA GROVE SCHOOL DISTRICT AD HOC COMMITTEE (prior to 11-2006),Member,,2006-03-07,2006-04-13
2558,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2006-05-02,2007-04-30
2558,208,INCLUSIONARY ZONING ADVISORY OVERSIGHT COMMITTEE (prior to 4-18-2009),Member,,2006-08-01,2009-04-18
2558,186,BOARD OF HEALTH FOR MADISON AND DANE COUNTY,Member,,2007-04-17,2011-04-18
2558,248,EMERGING NEIGHBORHOODS FUND COMMITTEE (end 12/2008),Member,Common Council or Citizen Member,2008-02-26,2008-12-01
2558,246,ZONING CODE REWRITE ADVISORY COMMITTEE (ended 2/2013),Member,Common Council or Citizen Member,2008-02-26,2009-04-20
2558,156,MONONA TERRACE BOOKING EVENT ASSISTANCE ADVISORY COMMITTEE,Member,Common Council Member,2008-12-02,2015-04-21
2558,59,SENIOR CITIZENS ADVISORY COMMITTEE (ended 5/2012),Member,,2009-04-21,2011-04-18
2558,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Vice Chair,,2010-05-04,2011-04-19
2558,273,OVERTURE AD HOC COMMITTEE (ended 12/2010),Member,,2010-08-03,2010-12-31
2558,277,REAPPORTIONMENT & REDISTRICTING AD HOC COMMITTEE (ended 8/2011),Member,District 13 Alder,2011-02-01,2011-08-02
2558,39,CITY-COUNTY LIAISON COMMITTEE,Member,Common Council Member,2011-04-19,2013-04-15
2558,4,BOARD OF ESTIMATES (ended 4/2017),Member,Common Council President,2011-04-19,2012-04-16
2558,241,"ERLANGER, JEFFREY CLAY, CIVILITY IN PUBLIC DISCOURSE AWARD COMMITTEE",Member,,2011-05-03,2012-04-17
2558,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2011-05-03,2012-04-17
2558,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2012-05-01,2013-04-16
2558,41,COMMUNITY DEVELOPMENT BLOCK GRANT COMMITTEE,Member,Common Council Member,2012-05-01,2015-04-21
2558,287,UNION CORNERS AD HOC COMMITTEE (ended 6/2013),Member,Common Council Member,2012-06-12,2013-06-30
2558,288,COMMITTEE ON AGING,Member,Common Council Member,2012-06-12,2015-04-21
2558,295,EAST WASHINGTON AVENUE 800 BLOCK NORTH COMMITTEE (ended 4/2013),Member,Common Council Member,2012-10-30,2013-04-09
2558,280,SISTER CITY COLLABORATION COMMITTEE,Member,Common Council Member,2013-04-16,2015-04-21
2558,64,URBAN DESIGN COMMISSION,Member,Common Council Member,2013-04-16,2015-04-21
2558,307,COMMUNITY DEVELOPMENT DIVISION CONFERENCE COMMITTEE,Member,CDBG Alder,2014-02-25,2015-02-23
2558,310,CAPITOL EAST DISTRICT COMMITTEE (ended 2/2017),Member,Alder-At-Large,2014-09-02,2015-04-21
2558,235,CAPITAL AREA REGIONAL PLANNING COMMISSION (CARPC),Member,Mayoral Appointee,2014-11-18,2020-07-01
2558,36,WATER UTILITY BOARD,Member,Resident Member,2015-05-19,2021-09-30
2559,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2005-04-20,2009-04-20
2559,12,MADISON ARTS COMMISSION,Member,,2005-04-20,2009-04-20
2559,60,SOLID WASTE ADVISORY COMMITTEE (ended 3/2020),Member,,2005-04-20,2009-04-20
2559,31,ADA TRANSIT SUBCOMMITTEE TO THE TRANSIT AND PARKING COMM (ended 6/2018),Member,,2005-12-13,2009-04-20
2559,3,PLAN COMMISSION,Member,,2007-05-01,2009-04-20
2559,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2007-11-20,2009-04-29
2559,246,ZONING CODE REWRITE ADVISORY COMMITTEE (ended 2/2013),Member,Common Council or Citizen Member,2008-02-26,2009-04-20
2559,3,PLAN COMMISSION,Member,,2009-05-05,2010-05-17
2559,246,ZONING CODE REWRITE ADVISORY COMMITTEE (ended 2/2013),Member,,2009-07-07,2011-05-31
2559,3,PLAN COMMISSION,Member,,2010-05-18,2011-01-18
2559,152,JOINT SOUTHEAST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2010-06-01,2011-04-30
2559,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2010-03-02,2011-07-30
2559,3,PLAN COMMISSION,Member,,2011-01-18,2011-05-31
2559,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),Member,District 11 Alder,2016-03-15,2017-04-18
2559,236,MADISON AREA TRANSPORTATION PLANNING BOARD (MPO) (prior to 9/30/2023),Member,Elected Official,2016-03-15,2017-04-18
2559,303,SUSTAINABLE MADISON TRANSPORTATION MASTER PLAN OVERSIGHT COMMITTEE (Madison in Motion) (ended 2/2017),Member,Common Council Member,2016-03-15,2017-02-28
2559,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2016-06-07,2017-04-18
2559,1323,METRO PARATRANSIT MEDICAID WAIVER FUNDING & POLICY REVIEW AD HOC COMMITTEE (ended 7/2017),Member,Common Council Member,2016-08-08,2017-07-11
2559,1326,PUBLIC MARKET DEVELOPMENT COMMITTEE (ended 1/2024),Member,Resident Member,2017-05-16,2024-01-11
2560,172,WINGRA CREEK BUILD ADVISORY PROJECT TEAM (prior to 1-2-2006),Member,,2005-04-20,2006-01-02
2560,91,COMMUNITY DEVELOPMENT AUTHORITY,Member,,2005-04-20,2007-04-16
2560,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),,,2005-04-20,2007-04-16
2560,103,BOARD OF EDUCATION - COMMON COUNCIL LIAISON COMMITTEE (prior to 6/12/2012),Member,,2005-04-20,2007-04-16
2560,152,JOINT SOUTHEAST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2005-04-20,2007-04-16
2560,132,ZOO COMMISSION - HENRY VILAS,Member,,2005-04-20,2007-04-16
2560,128,SOUTH MADISON HEALTH AND FAMILY CENTER-HARAMBEE (ended 3/2011),Member,,2005-04-20,2007-04-16
2560,187,VILLAGER MALL MASTER PLAN OVERSIGHT AD HOC COMMITTEE (prior to 12-2005),Member,,2005-04-19,2005-12-21
2560,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2005-05-03,2007-04-16
2560,107,MADISON HOUSING AUTHORITY,Member,,2005-05-03,2007-04-16
2560,113,BAYVIEW FOUNDATION BOARD,Member,,2005-06-07,2007-04-16
2560,137,CDA HOUSING OPERATIONS SUBCOMMITTEE (prior to 9-15-2009),Member,,2005-06-07,2007-04-16
2560,31,ADA TRANSIT SUBCOMMITTEE TO THE TRANSIT AND PARKING COMM (ended 6/2018),Member,,2005-04-19,2005-07-27
2560,225,REGENT STREET-SOUTH CAMPUS PLAN STEERING COMMITTEE (prior to 7-1-2008),Member,,2007-01-02,2007-04-16
2560,239,SOUTH MADISON AD HOC STEERING COMMITTEE (prior to 8-7-2007),Member,,2007-03-21,2007-04-17
2560,1361,PRESIDENT'S TASK FORCE ON CRITICAL ISSUES IMPACTING THE BLACK COMMUNITY (ended 1/2021),Member,Community Member,2020-08-04,2021-01-05
2560,1362,POLICE CIVILIAN OVERSIGHT BOARD,Member,Community-based Organization Representative,2020-10-06,2023-04-18
2560,5,ALCOHOL LICENSE REVIEW COMMITTEE,Member,Common Council Member,2023-04-18,2025-04-15
2560,288,COMMITTEE ON AGING,Member,Common Council Member,2023-04-18,2025-03-11
2560,39,CITY-COUNTY LIAISON COMMITTEE,Member,Common Council Member,2023-04-18,2025-04-15
2560,91,COMMUNITY DEVELOPMENT AUTHORITY,Member,Common Council Member,2023-04-18,2026-04-21
2560,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,Common Council Member,2023-04-18,2026-04-21
2560,1385,COMMUNITY RESOURCES COMMITTEE,Member,Common Council Member,2025-04-15,2026-04-21
2184,156,MONONA TERRACE BOOKING EVENT ASSISTANCE ADVISORY COMMITTEE,Member,,2005-04-20,2007-04-17
2184,49,ETHICS BOARD,Member,,2004-07-06,2005-05-10
2184,118,GREATER MADISON CONVENTION AND VISITORS BUREAU BOARD,Member,,2005-04-20,2007-04-16
2184,36,WATER UTILITY BOARD,Member,,2005-04-20,2005-04-22
2184,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,,2005-04-20,2007-04-16
2184,47,ECONOMIC DEVELOPMENT COMMITTEE,Member,,2004-11-23,2005-04-30
2184,64,URBAN DESIGN COMMISSION,Member,,2005-04-20,2007-04-16
2184,204,LONG RANGE METRO TRANSIT PLANNING AD HOC COMMITTEE,Member,,2006-09-05,2007-04-16
2184,47,ECONOMIC DEVELOPMENT COMMITTEE,Member,,2007-08-07,2008-05-23
17,48,EQUAL OPPORTUNITIES COMMISSION,Member,,2005-04-20,2005-04-21
17,163,SMALL BUSINESS ENTERPRISE SPECIAL APPEALS BOARD,Member,,1999-11-30,2111-11-11
17,141,EAST WASHINGTON AVENUE DESIGN OVERSIGHT COMMITTEE (prior to 1-19-2007),Member,,2002-09-03,2007-01-19
17,154,PARKS LONG RANGE PLANNING SUBCOMMITTEE,Member,,2003-01-21,2005-07-18
17,134,"ALCOHOL USE IN PARKS AND CENTRAL CITY, AD HOC COMMITTEE TO INVESTIGATE (ended 3/2006)",Member,,2003-08-05,2006-03-21
17,26,BOARD OF PARK COMMISSIONERS,Member,,2000-01-04,2007-04-16
17,176,CIVIL RIGHTS DEPT AD HOC COMMITTEE (prior to 6-21-2005),Member,,2005-01-18,2005-07-26
17,9,BOARD OF PUBLIC WORKS,Member,,1997-04-15,2005-04-19
17,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2005-05-03,2006-04-17
17,41,COMMUNITY DEVELOPMENT BLOCK GRANT COMMITTEE,Member,,2005-06-21,2007-04-16
17,148,HABITAT STEWARDSHIP COMMITTEE (ended 3/2007),Member,,2005-07-05,2007-04-16
17,168,HABITAT STEWARDSHIP SUBCOMMITTEE (Parks),Member,,2005-07-05,2007-02-06
17,145,FACILITIES PROGRAMS AND FEES SUBCOMMITTEE (Parks),Member,,2007-02-07,2007-04-16
9,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2004-05-04,2006-04-18
9,170,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY COM (prior to 11-7-2006).,Member,,2003-07-15,2006-04-17
9,169,VERONA ROAD/WEST BELTLINE HIGHWAY ADVISORY COMMITTEE (prior to 3-7-2005),Member,,2001-06-19,2005-03-07
9,158,PESTICIDE USE POLICY - AD HOC TASK FORCE ON (prior to 6-2004),Member,,2004-07-01,2004-07-08
9,150,ICE ARENA AD HOC COMMITTEE (prior to 1-18-2005),Member,,2003-06-03,2005-01-18
9,145,FACILITIES PROGRAMS AND FEES SUBCOMMITTEE (Parks),Member,,2003-04-15,2008-02-13
9,134,"ALCOHOL USE IN PARKS AND CENTRAL CITY, AD HOC COMMITTEE TO INVESTIGATE (ended 3/2006)",Member,,2003-08-05,2006-03-21
9,125,PUBLIC SAFETY COMMUNICATIONS CENTER BOARD (Dane County) (ended 5/2019),Member,Common Council or Citizen Member,2002-05-21,2007-04-17
9,26,BOARD OF PARK COMMISSIONERS,Member,,2003-04-15,2007-04-16
9,109,PEDESTRIAN/BICYCLE/MOTOR VEHICLE COMMISSION (ended 6/2018),Member,,2005-04-20,2011-04-30
9,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,Common Council Member,2002-05-21,2019-04-16
9,92,DISABILITY RIGHTS COMMISSION,Member,,2004-12-14,2009-04-21
9,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Vice Chair,,2006-04-18,2006-09-06
9,210,GARVER BUILDING REUSE COMMITTEE (prior to 3-25-2008),Member,,2006-09-05,2007-04-16
9,236,MADISON AREA TRANSPORTATION PLANNING BOARD (MPO) (prior to 9/30/2023),Member,Elected Official,2007-04-17,2012-10-03
9,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2007-07-17,2011-04-19
9,125,PUBLIC SAFETY COMMUNICATIONS CENTER BOARD (Dane County) (ended 5/2019),Member,Common Council Member/Public Safety Review Committee Representative,2008-05-20,2019-04-16
9,26,BOARD OF PARK COMMISSIONERS,Member,,2009-04-21,2011-04-18
9,145,FACILITIES PROGRAMS AND FEES SUBCOMMITTEE (Parks),Member,,2009-07-21,2011-02-20
9,9,BOARD OF PUBLIC WORKS,Member,Common Council Member,2010-01-19,2017-04-18
9,59,SENIOR CITIZENS ADVISORY COMMITTEE (ended 5/2012),Member,District 13 Alder,2011-04-19,2012-05-01
9,195,SUSTAINABLE DESIGN AND ENERGY COMMITTEE (ended 6/2012),Member,District 13 Alder,2011-04-19,2012-02-06
9,224,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY SUBCOMMITTEE (ended 3-2023),Member,,2011-02-21,2011-04-19
9,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,Common Council Member,2012-05-01,2014-04-29
9,298,LANDLORD AND TENANT ISSUES COMMITTEE (end 11/2024),Member,Common Council Member,2013-02-26,2015-04-21
9,91,COMMUNITY DEVELOPMENT AUTHORITY,Member,Common Council Member,2013-04-16,2014-03-11
9,283,ADMINISTRATIVE REVIEW BOARD,Member,Common Council Member,2012-05-01,2014-04-15
9,264,CDA HOUSING OPERATIONS SUBCOMMITTEE,Member,Common Council Member,2013-05-08,2014-03-11
9,109,PEDESTRIAN/BICYCLE/MOTOR VEHICLE COMMISSION (ended 6/2018),Member,Common Council Member,2015-04-21,2018-06-30
9,5,ALCOHOL LICENSE REVIEW COMMITTEE,Member,Common Council Member,2015-08-04,2021-04-20
9,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,Pedestrian/Bicycle/Motor Vehicle Commission Member,2015-09-15,2017-04-18
9,1320,TRANSPORTATION ORDINANCE REVIEW AD HOC COMMITTEE - ended 7/2017,Member,,2016-02-23,2017-07-14
9,1324,FINANCE COMMITTEE,Member,Common Council Member,2017-04-18,2019-04-16
9,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,Pedestrian/Bicycle/Motor Vehicle Commission Member,2017-08-01,2018-06-30
9,1336,TASK FORCE ON STRUCTURE OF CITY GOVERNMENT (ended 3/2020),Member,Common Council Member,2018-02-06,2020-03-03
9,1337,PRESIDENT'S WORK GROUP TO DEVELOP CITY-WIDE SURVEILLANCE EQUIPMENT & DATA MANAGEMENT POLICIES (ended 1/2020),Member,Common Council Member,2017-12-29,2020-01-16
9,1325,COMMON COUNCIL EXECUTIVE COMMITTEE,Member,Common Council Member,2018-05-01,2019-04-16
9,26,BOARD OF PARK COMMISSIONERS,Member,Common Council Member,2019-04-16,2021-04-20
9,1325,COMMON COUNCIL EXECUTIVE COMMITTEE,Member,Common Council Member,2020-05-05,2021-04-20
9,1360,AD HOC TASK FORCE ON THE STRUCTURE OF CITY GOVERNMENT (TFOGS) FINAL REPORT IMPLEMENTATION WORK GROUP (ended 3-2023),Member,Common Council Member,2020-11-02,2021-04-20
2220,142,EAST WASHINGTON/CAPITOL GATEWAY BUILD STEERING COMMITTEE(prior to 01/20/2010) ,Member,,2004-11-09,2007-08-06
2220,208,INCLUSIONARY ZONING ADVISORY OVERSIGHT COMMITTEE (prior to 4-18-2009),Member,,2006-08-01,2007-04-17
2220,216,TAX INCREMENTAL FINANCING POLICY AD HOC COMMITTEE,Member,,2006-11-07,2007-04-16
2220,227,CENTRAL PARK DESIGN AND IMPLEMENTATION TASK FORCE (ended 6/2011),Member,,2007-03-27,2007-04-16
2220,227,CENTRAL PARK DESIGN AND IMPLEMENTATION TASK FORCE (ended 6/2011),Member,,2007-04-17,2011-06-07
2220,41,COMMUNITY DEVELOPMENT BLOCK GRANT COMMITTEE,Member,,2007-04-17,2011-04-18
